CRD_1A85603204124465ACAD|SR|EN|3130|3380|14657|14699
CRD_1A87BECFAC1647F98FBC|HR|EN|10744|10600|30026|29626
CRD_1A905AD1C8F14E1B9C83|RR|EN|350|240|3212|3212
CRD_1AA86801F7BB4278A6C8|AR|EN|7360|6900|107892|106719
CRD_1AB7F353BFC547DC81F1|AR|EN|1000|980|8106|8106
CRD_1ACA13137E6D4322A031|SR|JP|757|750|2018|2018
CRD_1ACE44AEBA7B4DF5B0D6|HR|JP|2160|2570|6691|6690
CRD_1AD1B3ABA677423BBCAE|SR|JP|2370|2360|7283|7281
CRD_1AF00E0F44D842E894A4|AR|JP|4770|4600|16857|17309
CRD_1AF555656B2048A2B4EE|RR|EN|170|120|1468|1468
CRD_1AF7C5C839D646B0A61B|AR|EN|2660|2450|20301|20191
CRD_1AFBAC5E15DA4DBFB50A|AR|EN|1310|1120|11837|11837
CRD_1B0CED467C434ACBAEFE|AR|EN|860|800|21833|23225
CRD_1B2ADC910BB140BE8F44|HR|JP|4020|4790|17993|17993
CRD_1B4300D40B074B11BABC|RR|JP|300|240|895|895
CRD_1B75DAEB61EA4A2D9A2A|HR|JP|2640|3140|8161|8161
CRD_1B7FAED9F23141518159|RR|EN|245|190|1361|1361
CRD_1B81F3B284534F8B8896|SSR|JP|3057|2750|7979|7979
CRD_1B828812B58A4E3FB0CD|RR|EN|561|554|3120|3120
CRD_1BA92AE483D3487E9AD9|SR|EN|992|918|1682|1682
CRD_1BB82D85E831428CABCE|RR|JP|5074|4120|15157|15155
CRD_1BD0376A3CA8485BB302|SR|EN|116202|116780|695249|695121
CRD_1BE9EEDEDD6944B99663|RR|EN|795|785|4420|4420
CRD_1C040171393842089CFF|AR|EN|9870|9090|86893|85936
CRD_1C157708149345C6BF37|RR|JP|691|570|2063|2078
CRD_1C425DFA45494FDC8351|RR|EN|283|210|1575|1575
CRD_1C6AC6FAD7E44F1EBBC2|AR|EN|2250|2200|22470|22208
CRD_1C6F8B47E1DE4A3B8C3C|AR|EN|9180|8480|77805|77790
CRD_1C7DCAE87E334BB2AA8B|RR|JP|295|240|880|880
CRD_1C909A7537014095872A|RR|JP|493|400|1472|1471
CRD_1CBBEBA5751D495C81D5|SR|EN|9863|9860|99409|99409
CRD_1CC18469ABD541448268|AR|EN|940|870|7601|7601
CRD_1CCD9CD035A348629CD9|HR|JP|14000|16640|43302|43294
CRD_1CE47901F5674D55AB69|RR|JP|14728|11970|43992|43992
CRD_1D0F4747A8BF4524B3CF|RR|EN|206|160|1147|1147
CRD_1D12B07C82D340E9AC74|SR|JP|4783|4782|17297|17293
CRD_1D1BB63C7C8542D59855|RR|EN|16990|11850|126250|126227
CRD_1D26125A944B41DFAE0A|SR|EN|3000|2999|3380|3380
CRD_1D2EAA1FB1D44C0781F7|RR|JP|3540|2950|10833|10831
CRD_1D3EB41A06F94BA7B512|HR|JP|2630|3120|8132|8131
CRD_1D3FA593099E46F2A199|RR|JP|3108|2530|9286|9284
CRD_1D61B56A81F04560A587|RR|JP|173|140|516|501
CRD_1D7AF3D440F245F09657|UR|JP|3777|3619|7981|7979
CRD_1D86DD36D9564C309BE6|SR|JP|9425|9403|25308|25303
CRD_1DB4E0B1059842A38CD7|CSR|JP|6810|6840|19876|19872
CRD_1DD2042E9B7D494B83FB|SR|JP|1184|1183|15098|15094
CRD_1DDA49C90A3047D59903|SAR|JP|23850|25040|50030|50394
CRD_1DF3BDE764954B38BA78|RR|EN|547|541|3043|3043
CRD_1E0043AFBDEA40F0A0F7|RR|EN|95429|95404|715653|715653
CRD_1E02FB124E934CF8AE0F|AR|EN|4330|4260|47444|48968
CRD_1E093F6900FF4470B84E|SR|EN|2345|2406|13959|14320
CRD_1E2EB300CA564DADA074|SR|EN|6087|5636|10323|10323
CRD_1E4B7D9AA9DB42A7982A|RR|EN|140|100|1361|1361
CRD_1E5819643E174D74811E|RR|JP|330|280|986|1016
CRD_1E87A3A1183343468691|SAR|JP|3010|3269|8861|8859
CRD_1EAFC9958EE848E3BAA6|SR|EN|2606|2413|4420|4420
CRD_1EB1317E215A4D5FABEE|SM-P|EN|12734|12731|39106|39106
CRD_1ECDA429B4D74A1EB5F5|RR|EN|140|100|948|948
CRD_1ED4DECEA3A14B6C81A6|AR|EN|950|870|8779|8779
CRD_1EDD60BB0BE04B8C999B|RR|EN|2314|1750|12862|12862
CRD_1EDE2D3DF6644957B409|PR|JP|1087|1087|12715|12712
CRD_1EE8B7BE600043EF8C97|SSR|JP|744|680|1957|1987
CRD_1F0C27DC82064235A11C|HR|JP|2740|2460|26324|26319
CRD_1F266213F3D04671AEAA|SAR|JP|74170|77600|156142|156142
CRD_1F2BEBDD9D0144DC8275|PR|JP|2190|2189|25611|25606
CRD_1F2F5DBD379C4E56A95F|SR|JP|8448|8427|22683|22679
