CRD_3FA487AFC9CD43388FA7|고릴타 V|1962
CRD_25C230DC064948798E98|코르니의 기합|3360
CRD_3D845D79A43446819D94|뮤츠 VSTAR|1310
CRD_3FA675F84C674401A71D|마자용 V|810
CRD_403D661F93B3488CA6F5|국화|1573
CRD_0C0972C263B343A4BB0D|자마젠타 V|170
CRD_3FED5DC18A974AFBB5BA|딜리버드|680
CRD_401FD6071DA84BD28DBD|가디안 ex|2824
CRD_4032908FFCFF4C66A7DA|알로라질뻐기 GX|1249
CRD_403F30AD7CEB4458A3BA|유리카|5586
CRD_40B4022498F2461CB0E9|자포코일 EX|3348
CRD_4B75B995CF8948918B35|핫삼 VMAX|8340
CRD_40E593A0BF374678B1E8|조타구 ex|100
CRD_85ACB08A9301857D6840|라티아스&라티오스 GX|78821
CRD_40F6EEFDAD37407C8580|폭슬라이|900
CRD_413FD0336AAA480DAA38|루카리오&멜메탈 GX|10287
CRD_413FE230DC42456DB302|윈디 ex|200
CRD_329E5AFEC48D4C2B8D03|괴력몬 GX|830
CRD_43184344379E4533B6E5|두빅굴 EX|1030
CRD_435238B98B534ED1A50A|마마네|1845
CRD_428AF8A0299041E5A922|두드리짱 ex|270
CRD_43BC0926ACC14BDDAA6B|개굴닌자 ex|155680
CRD_420EDFD54C4F42DA98EE|따라큐 V|17210
CRD_4143730A5E3C4C31B192|불카모스|6180
CRD_05147F0295684127A3F6|액슨도|1230
CRD_421B1590AD54493AA0C1|올리르바 ex|1629
CRD_43D855425B824A7DAA12|나로테|2680
CRD_43F737D98D4646BC92BE|캐터피|2010
CRD_442D7542AFE94FA494F3|대여르 V|690
CRD_4224526A99B34DDDA194|포푸니라 GX|584
CRD_44313E703A974D358FBF|갑주무사 GX|830
CRD_487F923F9A884FFDBD8A|메가개굴닌자 ex|148740
CRD_448903DEA445481396DD|화염레오|1330
CRD_44A13E89FE7A4D61BDE0|헬가 EX|7562
CRD_447AD11B1C504AC4B5F7|보르그|1400
CRD_44F5692ABDFC4F8DA2CA|볼트로스 EX플라스마단|19052
CRD_02F5CFB869144C589BF7|음번 GX|1386
CRD_4433E81381664E14ADED|로켓단의 헬가|2550
CRD_447A0348BBF24CB6AA73|레시라무&리자몽 GX|9000
CRD_113220EE585F46CDB3E3|부스터 GX|2850
CRD_44A4617C7F3347A2B08A|피카츄 V|690
CRD_44DEAF40BD594140A6C6|치라치노 ex|230
CRD_44E1537469C74DDBBA16|나몰빼미&알로라나시 GX|7495
CRD_457C08948A2D49189AA1|비크티니 VMAX|1180
CRD_13962B7254BB4EC68492|마기아나 EX|970
CRD_04F21DB3B3794D47B1C9|레지락 EX|510
CRD_45BCEE6F7FD34E328ECD|강철톤|4130
CRD_032F065F3B1D42379FF6|알로라나인테일 GX|1150
CRD_458264C893E84DF0975A|지가르데 GX|5900
CRD_46AA4AF10EC446A2A11D|기모노드레스|5930
CRD_4CBEC2D7C8DF430DA560|메가플라엣테 ex|13330
CRD_45DCE5D7B81948979409|메가무장조 ex|160
CRD_45C9E6F60F414FF4A7C1|망나뇽 EX|10681
CRD_0E5CE3102B684AB7B177|멜리시 BREAK|700
CRD_466576292217484F9E58|떨구새 ex|682
CRD_45D3A4AB841C4BAAA951|두랄루돈 VMAX|2890
CRD_46627F2A3E6F48A9BE2F|메가가디안 ex|215360
