series,ko_set,ko_name,ko_rarity,ko_no,type,jp_ref,jp_status,code
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,가라르 썬더 V,CSR,237,기본 포켓몬,swsh8b_ja-237,CONFIRMED,BS2022001237
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,자마젠타 V,CSR,251,기본 포켓몬,swsh8b_ja-251,CONFIRMED,BS2022001251
swsh8b_ja,소드&실드 하이클래스팩 「VMAX 클라이맥스」,두랄루돈 VMAX,CSR,253,V진화,swsh8b_ja-253,CONFIRMED,BS2022001253
swsh9_ja,소드&실드 확장팩 「스타버스」,리자몽 V,RR,014,기본 포켓몬,swsh9_ja-14,CONFIRMED,BS2022002014
swsh9_ja,소드&실드 확장팩 「스타버스」,네오라이트 V,RR,030,기본 포켓몬,,NEEDS_MATCH,BS2022002030
swsh9_ja,소드&실드 확장팩 「스타버스」,엘풍 VSTAR,RRR,050,V진화,swsh9_ja-50,CONFIRMED,BS2022002050
swsh9_ja,소드&실드 확장팩 「스타버스」,돈크로우 V,RR,064,기본 포켓몬,swsh9_ja-64,CONFIRMED,BS2022002064
swsh9_ja,소드&실드 확장팩 「스타버스」,해당의 백업,SR,116,서포트,,NEEDS_MATCH,BS2022002116
swsh9_ja,소드&실드 확장팩 「스타버스」,해당의 백업,HR,124,서포트,,NEEDS_MATCH,BS2022002124
swsh9a_ja,소드&실드 강화 확장팩 「배틀리전」,히스이 대검귀 V,RR,052,기본 포켓몬,,NEEDS_MATCH,BS2022004085
swsh9a_ja,소드&실드 강화 확장팩 「배틀리전」,히스이 대검귀 V,SR,078,기본 포켓몬,swsh9a_ja-78,CONFIRMED,BS2022004123
swsh10d_ja,소드&실드 확장팩 「타임게이저」,지라치 V,RR,025,기본 포켓몬,,NEEDS_MATCH,BS2022007025
swsh10d_ja,소드&실드 확장팩 「타임게이저」,지라치 V,SR,071,기본 포켓몬,swsh10d_ja-71,CONFIRMED,BS2022007071
swsh10p_ja,소드&실드 확장팩 「스페이스 저글러」,하랑우탄 V,RR,058,기본 포켓몬,,NEEDS_MATCH,BS2022008058
