card_id,name,official_card_code,product_id,collection_number,rarity_code,language,super_type,jp_scrydex_ref,en_scrydex_ref
CRD_58E466F3E3064DF98E83,다태우지네 V,BS2020016309,PRD_595A32AA23664B6ABD92,309/190,SSR,KO,POKEMON,swsh4a_ja-309,swsh45sv-SV108
CRD_8D34314C145E4657910C,개구마르,,PRD_156BB71C4F5A41C39521,086/083,AR,KO,POKEMON,m4_ja-86,NO_EN
CRD_595B6C8D454040518BFD,랜드로스,BS2025007137,PRD_D52A4B350D2344119847,137/086,AR,KO,POKEMON,sv11b_ja-137,zsv10pt5-131
CRD_5798719CFA7B4AF9928A,딱구리 EX,PR2015001108,PRD_5335DFBF031D4BA68337,,PR,KO,POKEMON,xyp_ja-197,g1-46
CRD_599E7458ABA7436BA692,따라큐,BS2024001341,PRD_219AD0EF77CA4165AD0F,341/190,AR,KO,POKEMON,sv4a_ja-341,svp-75
CRD_594A5B7B75D040D5B7B8,루기아 BREAK,BS2016020059,PRD_218CE0DABAD1493786DF,059/078,RR,KO,POKEMON,xy10_ja-59,xy10-79
CRD_579416A2A535432F8F30,나옹 ex,BS2026002114,PRD_B269D7FE35F74921BDB2,114/080,SAR,KO,TRAINER,m3_ja-114,me3-121
CRD_11D6E395867B46F49FE8,루기아 VSTAR,BS2022017118,PRD_75DAB61BCF5342C38563,118/098,HR,KO,POKEMON,swsh12_ja-118,swsh12-202
CRD_1A707D9E2FC6416F96A5,돈크로우 V,BS2022002108,PRD_FA60964DC9AC4C999AC2,108/100,SR,KO,POKEMON,swsh9_ja-108,swsh9-161
CRD_5965C8E46105490CBE74,킹드라 EX,BS2016020055,PRD_218CE0DABAD1493786DF,055/078,RR,KO,POKEMON,xy10_ja-55,xy10-73
CRD_57BF36837D354F8B8535,블래키 GX,SMP0000000061,PRD_6FECFBC555C1465CAFA0,043/SM-P,SM-P,KO,POKEMON,smp_ja-125,smp-SM36
CRD_57E4BE5A1FDD46759576,이브이 ex,BS2024019224,PRD_D26383A636BE42F09D6B,224/187,SAR,KO,POKEMON,sv8a_ja-224,svp-174
CRD_5854A8B691CA4AF9B909,TV 리포터,BS2018006073,PRD_151FCDB5743444E7A349,073/066,SR,KO,TRAINER,sm6b_ja-74,sm7-167
CRD_58AEBF1133424C8B92C1,저승갓숭 ex,BS2023011040,PRD_514C148400944D8AA72F,040/071,RR,KO,POKEMON,sv2p_ja-40,svp-32
CRD_59D5ED41D1EE424B829A,찬석,BS2023001243,PRD_B4F8E0D2E2414F1DBC9B,243/172,SAR,KO,TRAINER,swsh12a_ja-240,swsh12pt5gg-GG57
CRD_5A428B14DAB74DF987AB,무한다이노 VMAX,,PRD_91D480C53D3248F79831,112/100,HR,KO,POKEMON,swsh3_ja-112,swsh3-192
CRD_5CE1C6B2A9B548A8B3DF,페퍼의 마피티프 ex,BS2025005081,PRD_66A71505B24242AD9875,081/063,SR,KO,POKEMON,sv9a_ja-81,sv10-218
