product_id,name,series_name,language
PRD_7208199A30CB4598B96B,소드&실드 프로모팩 제2탄,"",KO
PRD_355556B8A5644F73AAB9,소드&실드 「자시안+자마젠타 BOX」,"",KO
PRD_7929A7DF7FBB4441B445,소드&실드 스타터 세트 VMAX 오롱털,"",KO
PRD_984616EF4544458DA40D,소드&실드 스타터 세트 VMAX 리자몽,"",KO
PRD_342C9E29F6744FEEBB60,픽셀 포켓몬 2권 부록,"",KO
PRD_85F513E04C574895B5A7,픽셀 포켓몬 1권 부록,"",KO
PRD_2A9C144A5A8E468CA75E,소드&실드 프로모팩 제1탄,"",KO
PRD_4712E9C5A3D5444F971E,상상초월 포켓몬 과학연구소 4권 부록,"",KO
PRD_28B7D465AF674571AD54,스타터 세트 V 카드 배틀 이벤트,"",KO
PRD_B5AAF995990D4BB0BCD8,「반역크래시」 2BOX 구입 특전,"",KO
PRD_E4286779F3FF4A8DA34F,소드&실드 확장팩 「반역크래시」,소드&실드,KO
PRD_D785A25B9DFD4C32AE7C,소드&실드 강화 확장팩 「VMAX라이징」,소드&실드,KO
PRD_FC1A7B5927A44298A2A2,소드&실드 확장팩 「실드」,소드&실드,KO
PRD_7CCB63858C7E43A287F2,소드&실드 확장팩 「소드」,소드&실드,KO
PRD_82492C40613B4AA2957C,썬&문 「TAG TEAM GX 태그올스타즈」 스페셜 키트,"",KO
PRD_BABB2B298D844FC992EA,소드&실드 스타터 세트 V 격투,"",KO
PRD_4D3A6225A93549AB8266,소드&실드 스타터 세트 V 번개,"",KO
PRD_A7B6DEC903CF428CA155,소드&실드 스타터 세트 V 물,"",KO
PRD_94496EE2ED9C4E6791C8,소드&실드 스타터 세트 V 불꽃,"",KO
PRD_55EE0CBD74034AFFB9D4,소드&실드 스타터 세트 V 풀,"",KO
PRD_E3C9A6F3A7094CB5B77C,썬&문 「랜덤30장덱」,"",KO
PRD_C50AF6B22D9843F5B112,썬&문 하이클래스팩 「TAG TEAM GX 태그올스타즈」,썬&문,KO
PRD_A1A34A5756554F088BA7,썬&문 프로모팩 제10탄,"",KO
PRD_9B07DE115EC346669203,썬&문 프로모팩 제9탄,"",KO
