our_card_id,our_name,our_jp_ref,our_set_code,our_card_no,our_rarity,our_image_path,snkrdunk_id,snkrdunk_url,snkrdunk_title,snkrdunk_product_number,snkrdunk_image_url,snkrdunk_image_cache_path,text_match_card_id,scanner_top1_card_id,scanner_top1_name,scanner_top1_score,scanner_top5_json,match_status,confidence,source_set,notes
CRD_A1FF49B34D00462B8DF0,맘박쥐,sv11w_ja-117,SV11W,117/086,AR,cards/CRD_A1FF49B34D00462B8DF0_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV11W,
CRD_A20BEE66070640B39730,아머까오 VMAX,swsh5r_ja-85,SWSH5R,085/070,HR,cards/CRD_A20BEE66070640B39730_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH5R,
CRD_A20F94DEEB5245129C85,포곰곰,m1s_ja-75,M1S,075/063,AR,cards/CRD_A20F94DEEB5245129C85_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M1S,
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SMP,022/SM-P,SM-P,cards/CRD_A23AE6A8E89D4058AA29_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SMP,
CRD_A25CB6E36FC71EBDA24B,판초를 입은 피카츄,smp_ja-37,SMP,037/SM-P,PR,cards/CRD_A25CB6E36FC71EBDA24B_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SMP,
CRD_A2652FD03BCB44E786AA,돈크로우 V,swsh9_ja-109,SWSH9,109/100,SR,cards/CRD_A2652FD03BCB44E786AA_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH9,
CRD_A2686BFC7EE14D7788F6,로켓단의 닥트리오,m2a_ja-206,M2A,206/193,AR,cards/CRD_A2686BFC7EE14D7788F6_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,M2A,
CRD_A26B2D231CB94EECBAE3,다크펫 GX,sm6b_ja-31,SM6B,031/066,RR,cards/CRD_A26B2D231CB94EECBAE3_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM6B,
CRD_A2809ACDAA524CC6B457,야청,swsh4_ja-118,SWSH4,118/100,HR,cards/CRD_A2809ACDAA524CC6B457_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH4,
CRD_A2846300EA0942BBBD3C,M전룡 EX,xy7_ja-86,XY7,086/081,SR,cards/CRD_A2846300EA0942BBBD3C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,XY7,
CRD_A299CA442C2A41558B6E,포푸니라 GX,NO_JP,,015/031,RR,cards/CRD_A299CA442C2A41558B6E_ko.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,,JP ref 없음(NO_JP)
CRD_A2A524FCE0E54F2C8C91,데덴네 ex,sv1a_ja-89,SV1A,089/073,SR,cards/CRD_A2A524FCE0E54F2C8C91_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV1A,
CRD_A2BF0189A7944E14A265,밀로틱 V,swsh2_ja-99,SWSH2,099/096,SR,cards/CRD_A2BF0189A7944E14A265_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH2,
CRD_A2C303F9E86F4EDF9398,아가씨,swsh11_ja-122,SWSH11,123/100,HR,cards/CRD_A2C303F9E86F4EDF9398_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SWSH11,
CRD_A2CD819C7FE041DAA9C8,디안시(프리즘스타),sm8b_ja-58,SM8B,058/150,PR,cards/CRD_A2CD819C7FE041DAA9C8_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM8B,
CRD_A2D5C36D69B54AE9834C,블래키 GX,sm1m_ja-37,SM1M,037/060,RR,cards/CRD_A2D5C36D69B54AE9834C_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SM1M,
CRD_A2E2C941F5B941E8996D,수련의 돌봄,sv5a_ja-88,SV5A,087/066,SR,cards/CRD_A2E2C941F5B941E8996D_jp.png,,,,,,,,,,,[],SNK_ID_NOT_FOUND,LOW,SV5A,
