our_card_id,our_name,our_jp_ref,our_rarity,snkrdunk_apparel_id,snkrdunk_product_number,snkrdunk_title,snkrdunk_image_url,rematch_rank,rematch_score,snk_set,snk_number,snk_rarity,set_number_check,rarity_check,name_check
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,96748,pkmn-tcg-SI-417,ザマゼンタV [SI 417/414](スタートデッキ100),https://cdn.snkrdunk.com/upload_bg_removed/20220915093703-0.webp,7,3,SI,417/414,,DIFF,DIFF,OK
CRD_66B86CAACE834BA39882,자마젠타 V,NO_JP,RR,113242,pkmn-tcg-1550,ザマゼンタV SR[S1H 065/060](拡張パック「シールド」),https://cdn.snkrdunk.com/upload_bg_removed/20230215053734-2.webp,8,3,S1H,065/060,SR,DIFF,DIFF,OK
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,129819,pkmn-tcg-SVD-029,ゲッコウガex [SVD 029/139](おまかせexスタートデッキ),https://cdn.snkrdunk.com/upload_bg_removed/TCG-PKG-SVD-5949.webp,2,1,SVD,029/139,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,214558,pkmn-tcg-SVI-017,ゲッコウガex [SVI 017/066](「バトルアカデミー」ゲッコウガex デッキ),https://cdn.snkrdunk.com/upload_bg_removed/20240307090129-0.webp,3,1,SVI,017/066,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,327382,pkmn-tcg-SP5-001,ゲッコウガV-UNION [SP5 004/013](スペシャルカードセット ゲッコウガ V-UNION),https://cdn.snkrdunk.com/upload_bg_removed/20240719072251-0.webp,4,1,SP5,004/013,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,380205,pkmn-tcg-SI-107,ゲッコウガV [SI 107/414](ソード＆シールド「スタートデッキ100」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7332180-yu.webp,5,1,SI,107/414,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,385881,pkmn-tcg-XY-026,ゲッコウガ [XY 026/171](ハイクラスパック「THE BEST OF XY」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7323620-yu.webp,6,1,XY,026/171,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,385883,pkmn-tcg-XY-028,ゲッコウガBREAK [XY 028/171](ハイクラスパック「THE BEST OF XY」),https://cdn.snkrdunk.com/upload_bg_removed/20240913065922-0.webp,7,1,XY,028/171,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,385882,pkmn-tcg-XY-027,ゲッコウガ [XY 027/171](ハイクラスパック「THE BEST OF XY」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7323621-yu.webp,8,1,XY,027/171,,DIFF,DIFF,NO_MAP
CRD_906A3DF2C7B04997AE4D,개굴닌자 EX,xyp_ja-21,PR,391057,pkmn-tcg-CP4-035,ゲッコウガ [CP4 035/131](プレミアムチャンピオンパック「EX×M×BREAK」),https://cdn.snkrdunk.com/upload_bg_removed/pkmn-tcg-7322552-yu.webp,9,1,CP4,035/131,,DIFF,DIFF,NO_MAP
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91118,pkmn-tcg-S-P-227-226,ピカチュウ: プロモ[S-P 227](プロモーションカード 「ポケモン切手BOX 見返り美人・月に雁セット」),https://cdn.snkrdunk.com/upload_bg_removed/20240611021904-0.webp,1,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91209,pkmn-tcg-SM-P-061,ピカチュウ: プロモ[SM-P 068](プロモーションカード「チャンピオンズリーグ2017」),https://cdn.snkrdunk.com/upload_bg_removed/7325584.webp,2,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91225,pkmn-tcg-SM-P-199,ピカチュウ: プロモ[SM-P 199](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/20240614013810-0.webp,3,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91220,pkmn-tcg-SM-P-061,ピカチュウ: プロモ[SM-P 061](プロモーションカード「ポケモンカードフェスタ2017」),https://cdn.snkrdunk.com/upload_bg_removed/7325577.webp,4,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91252,pkmn-tcg-SM-P-224,ピカチュウ: プロモ[SM-P 224](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/7325733.webp,5,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91247,pkmn-tcg-214,ピカチュウ: プロモ[SM-P 008](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/7325524.webp,6,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91264,pkmn-tcg-242,ピカチュウ: プロモ[SM-P 179](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/7325689.webp,7,3,,,,DIFF,DIFF,OK
CRD_A23AE6A8E89D4058AA29,피카츄,smp_ja-207,SM-P,91263,pkmn-tcg-SM-P-003,ピカチュウ: プロモ[SM-P 003](プロモーションカード「SM-P」),https://cdn.snkrdunk.com/upload_bg_removed/7325519.webp,8,3,,,,DIFF,DIFF,OK
