card_id,card_name,snkrdunk_apparel_id,usedMinPrice,usedListingCount,A1m_n,A1m_med,A1m_latest,A3m_n,A3m_med,A3m_latest,PSA10_1m_n,PSA10_1m_med,PSA10_3m_n,PSA10_3m_med,PSA9_1m_n,PSA9_1m_med,PSA9_3m_n,PSA9_3m_med,data_quality
CRD_DAF9334F2EBE4F959019,그란돈 EX,381577,5200,4,0,0,0,0,0,0,0,0,2,16400,0,0,0,0,PSA_ONLY
CRD_E75C01B1AA4F453B9553,가디안 EX,381832,4444,2,0,0,0,0,0,0,0,0,2,13619,0,0,0,0,PSA_ONLY
CRD_EFAFD20CB50748A8B046,무장조,383045,1100,8,1,1000,1000,1,1000,1000,3,7000,7,7000,0,0,0,0,A_1M_OK
CRD_B5BD597A055847CBB31C,캐스퐁 태양의 모습,383120,1000,6,0,0,0,0,0,0,3,6666,9,6800,0,0,0,0,PSA_ONLY
CRD_F982F893088B4538AE96,서퍼,385172,1000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_77207234896E4180A67D,때때무노,383044,1000,9,0,0,0,0,0,0,3,6800,7,6750,0,0,0,0,PSA_ONLY
CRD_EF66D2E6D89F4EC5BE58,모토마 ex,385171,1500,1,0,0,0,0,0,0,1,7200,1,7200,0,0,0,0,PSA_ONLY
CRD_F28F173457F54FE4BE06,번치코,568893,1000,39,0,0,0,0,0,0,19,6900,46,6924,0,0,2,2249,PSA_ONLY
CRD_BDBA1831790543D0A08B,메가자리 BREAK,387155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_C512FB10DEBE4D3A9245,솔가레오 GX,386703,1500,2,1,2500,2500,1,2500,2500,0,0,0,0,0,0,0,0,A_1M_OK
CRD_7F8ADC12469E4311B6AC,형사구스 GX,386713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_DB00069D3B2C4916B373,켄타로스 GX,388923,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_8415237C305047B19AD4,단굴,608565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_B3149BEFD6BC407799A3,알로라나인테일 GX,389289,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_95020B5585B74E58A3AC,레트라 BREAK,390861,2000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_BB2792DF08BD4BE4A1F2,M헬가 EX,390001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_A99D593C22354D17A334,메가눈설왕 ex,659267,1000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_BE82877EE7B04D848D1B,망나뇽 GX,391701,5000,8,0,0,0,0,0,0,2,12000,7,15000,0,0,0,0,PSA_ONLY
CRD_FDD4ACFC9A3E4E2A8251,킹드라 GX,391727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_899A39AE13404402AADF,화이트큐레무 GX,391728,3500,5,0,0,0,0,0,0,1,30000,0,0,0,0,0,0,PSA_ONLY
CRD_E942132314EF46888CF0,프리져 GX,391747,17500,3,0,0,0,1,2480,2480,0,0,2,13745,0,0,0,0,A_3M_FB
CRD_A26B2D231CB94EECBAE3,다크펫 GX,391764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_7AF195199BBA474DA108,마임맨 GX,391758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_D89C085C68AB427DB734,보만다 GX,391778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_A8F55E775B1A48999A63,나누,392653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_CC3A107170E0419E98DC,후파 GX,392650,1111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_BB2021E55A1B4B7CBE30,페르시온 GX,393015,1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_C41CDFEEB7EE415CA1B7,질뻐기&알로라질뻐기 GX,392975,1300,10,0,0,0,1,1480,1480,3,8500,7,8500,0,0,0,0,A_3M_FB
CRD_64EA988E405547A794C3,약어리 GX,396154,1500,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_DD9A110694644BF0AA91,코바르온 GX,392652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_BF8B331F32534677B557,히드런 GX,393069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_7084B05629B04BBEA2F3,입치트 GX,393119,7000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_E1E6E75117094118B157,케르디오 GX,396018,5000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_E8ACEC3851F54A53AEF7,케르디오 GX,393176,3000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_EAE92820A9B54F4A9A09,개굴닌자&조로아크 GX,393207,2300,50,1,2300,2300,4,3140,2300,8,11750,39,14322,4,4949,9,4500,A_1M_OK
CRD_EA4685C2802E4DCCB4EF,도나리 GX,393238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_NO_PTS
CRD_9239E2F6422F4F328D52,라이츄&알로라라이츄 GX,393073,2222,71,2,6000,5000,13,5650,5000,10,27400,47,28395,1,5200,6,5200,A_1M_OK
