card_id,name,rarity,num,jp_ref,en_ref,selected_source,ko_current,selected_raw_krw,coef_current,en_raw,jp_raw,snk_raw,snk_n,jp_p10,jp_p9,snk_p10,snk_p9,scry_ladder,snk_ladder,pricing_mode,jp_coef,jp_coef_scope,ko_via_jp,ko_via_snk,mult_jp,mult_snk,selection_bug_raw,underpriced_by_jp,underpriced_by_snk,coef_missing,actionable,category
CRD_8B7637F128294F9EB800,피카츄&제크로무 GX,SR,101/095,sm9_ja-101,smp-SM168,EN,60671,361134,0.168000,361134,2755000,2374990,5,5950234,1861584,6265250,2137500,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,1070673,922990,17.6,15.2,True,True,True,False,True,UNDERPRICED
CRD_6BFE78CBD4924CF285F9,메가염무왕 ex,RR,113/742,NO_JP,me2pt5-31,EN,228,1214,0.188200,1208,0,17100,2,0,0,0,37990,,PSA9 > RAW,COEF,0.228936,RARITY,,3915,,17.2,False,False,True,False,True,UNDERPRICED
CRD_E63A3661A70B481E984A,라티오스 EX,SR,054/051,bw8s_ja-54,bw9-113,JP,12906,230472,0.056000,352244,230472,568100,1,2532657,366804,2280000,531810,PSA10 > PSA9 > RAW,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,89568,220780,6.9,17.1,False,True,True,False,True,UNDERPRICED
CRD_6EED812BE5FE4E45BB0A,다크라이 GX,SR,055/049,sm2p_ja-55,sm3-139,EN,6562,39057,0.168000,38877,285000,0,0,684195,192060,897218,332500,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,110759,,16.9,,True,True,False,False,True,UNDERPRICED
CRD_D2DB42A5C2EF4407A186,메가장크로다일 ex,RR,169/742,NO_JP,me2pt5-43,EN,399,2120,0.188200,2111,0,29450,5,0,0,128250,0,,PSA10 > RAW,COEF,0.228936,RARITY,,6742,,16.9,False,False,True,False,True,UNDERPRICED
CRD_45C9E6F60F414FF4A7C1,망나뇽 EX,SR,111/100,cp6_ja-98,xy12-106,EN,10872,80896,0.134400,80896,460944,0,0,2482998,271926,2632288,949990,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,179136,,16.5,,True,True,False,False,True,UNDERPRICED
CRD_B443DB37EB0D40308182,M레쿠쟈 EX,SR,086/078,xy6_ja-86,xy6-105,EN,73912,549937,0.134400,547392,3135000,0,0,7810158,346123,9025000,2088100,PSA10 > RAW > PSA9,PSA10 > PSA9,COEF,0.388629,RARITY,1218352,,16.5,,True,True,False,False,True,UNDERPRICED
CRD_9E959C4AF6BA480FA670,마기아나 EX,SR,055/054,xy11c_ja-55,xy11-110,EN,1912,14228,0.134400,14162,80750,0,0,550459,0,408500,0,PSA10 > RAW,PSA10,COEF,0.388629,RARITY,31382,,16.4,,True,True,False,False,True,UNDERPRICED
CRD_CC0F23B6FAC346E58A02,스컬단의 조무래기,SR,066/060,sm1m_ja-65,sm1-149,EN,1926,11462,0.168000,11409,80750,0,0,148624,75641,266000,0,PSA10 > RAW > PSA9,PSA10,COEF,0.388629,RARITY,31382,,16.3,,True,True,False,False,True,UNDERPRICED
CRD_75F07C682B69468CA27A,메가메가니움 ex,RR,018/742,NO_JP,me2pt5-10,EN,414,2197,0.188200,2187,0,29336,4,0,0,0,0,,RAW,COEF,0.228936,RARITY,,6716,,16.2,False,False,True,False,True,UNDERPRICED
CRD_32E8F32B11894AB188C1,플루메리,SR,057/051,sm3h_ja-57,sm3-145,EN,3634,21634,0.168000,21634,145966,0,0,191338,90330,0,0,PSA10 > RAW > PSA9,,COEF,0.388629,RARITY,56727,,15.6,,True,True,False,False,True,UNDERPRICED
CRD_C89D33E80FC541129360,플라드리,SR,087/080,xy2_ja-85,xy2-104,EN,6637,49382,0.134400,49154,266000,0,0,275337,57710,0,0,PSA10 > RAW > PSA9,,COEF,0.388629,RARITY,103375,,15.6,,True,True,False,False,True,UNDERPRICED
CRD_DB277DCB29D047D6A9C6,쿠쿠이박사,SR,066/060,sm1s_ja-66,sm1-148,EN,1533,9127,0.168000,9127,61382,0,0,138222,0,0,0,PSA10 > RAW,,COEF,0.388629,RARITY,23855,,15.6,,True,True,False,False,True,UNDERPRICED
CRD_73CA21A2A3EB47D1AF95,뮤츠&뮤 GX,SR,097/094,sm11_ja-97,sm11-222,JP,8989,114652,0.078400,240229,114652,359100,19,1263371,105572,1301500,330600,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,44557,139557,5.0,15.5,False,True,True,False,True,UNDERPRICED
CRD_64EEDFC9E563497FA922,루자미네,SR,118/114,sm4p_ja-120,sm5-153,EN,40784,242764,0.168000,242764,1615000,1330000,3,2102089,779979,4222750,1258740,PSA10 > RAW > PSA9,PSA10 > RAW > PSA9,COEF,0.388629,RARITY,627636,516877,15.4,12.7,True,True,True,False,True,UNDERPRICED
CRD_A12119533B1C4A21B910,아쿠스타 BREAK,RR,032/100,cp6_ja-30,xy12-32,EN,778,4133,0.188200,4114,32712,52250,1,165617,29746,0,0,PSA10 > RAW > PSA9,RAW,COEF,0.228936,RARITY,7489,11962,9.6,15.4,True,True,True,False,True,UNDERPRICED
CRD_5854A8B691CA4AF9B909,TV 리포터,SR,073/066,sm6b_ja-74,sm7-167,JP,6023,76824,0.078400,96337,76824,237500,1,420366,109059,232750,0,PSA10 > PSA9 > RAW,RAW > PSA10,COEF,0.388629,RARITY,29856,92299,5.0,15.3,False,True,True,False,True,UNDERPRICED
CRD_FBADA9A3BE9246A8BDC3,앤테이 GX,SR,073/072,sm3p_ja-73,sm35-71,EN,2364,14074,0.168000,14009,37644,93100,1,122442,84122,242250,0,PSA10 > PSA9 > RAW,PSA10 > RAW,COEF,0.388629,RARITY,14630,36181,6.2,15.3,True,True,True,False,True,UNDERPRICED
