card_id,name,rarity,collection_number,jp_ref,en_ref,ko_price,selected_source,coef_key,coef_value,en_raw_krw,true_raw_estimate_krw,estimate_basis,under_x,severity,snk_raw_krw,snk_n,snk_psa10_krw,jp_raw_krw,jp_psa10_krw,jp_psa9_krw,ladder_broken,blind_spot_low62,en_fallback,snk_quality
CRD_4145122B76D44C99ACC5,개굴닌자&조로아크 GX,SR,059/055,sm9a_ja-59,sm10-201,19876,JP,jp_SM_SR,0.078400,253519,427500,SNK_RAW(n1),21.5,CRITICAL,427500,1,1073500,253519,968442,236787,RAW_OVER_PSA9,,,SNK_THIN
CRD_5E2DD9D7EE3942628E86,괴력몬 EX,SR,088/081,xy7_ja-88,xy7-90,5334,EN,en_XY_SR,0.134400,39687,114000,SCRYDEX_JP_RAW,21.4,CRITICAL,0,0,356250,114000,196586,103851,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_DFDF0BC26A204FDE9CDC,님피아 GX,SR,057/051,sm1p_ja-57,sm2-140,17264,EN,en_SM_SR,0.168000,102760,356250,SNK_RAW(n1),20.6,CRITICAL,356250,1,1301500,570000,593183,137077,RAW_OVER_PSA9,Y,Y,SNK_THIN
CRD_67BA3BC34CA2443FAB1C,리자몽 EX,RR,012/100,cp6_ja-12,xy12-12,5176,EN,en_RR,0.188200,27503,105725,SCRYDEX_JP_RAW,20.4,CRITICAL,0,0,736250,105725,492534,86082,RAW_OVER_PSA9,,Y,NO_SNK
CRD_DDA35E539E7A4A1C897D,가디안 EX,RR,019/032,cp3_ja-19,g1-RC30,22619,EN,en_RR,0.188200,120183,460944,SCRYDEX_JP_RAW,20.4,CRITICAL,0,0,1584125,460944,1901500,660679,,,Y,NO_SNK
CRD_11628ECE200A4601B5D4,M가디안 EX,RR,020/032,cp3_ja-20,g1-RC31,30293,EN,en_RR,0.188200,160962,614592,SCRYDEX_JP_RAW,20.3,CRITICAL,0,0,1847750,614592,1934516,1659698,,,Y,NO_SNK
CRD_AC159F45A9C945968FF3,핫삼 EX,SR,086/080,xy9_ja-86,xy9-119,5068,EN,en_XY_SR,0.134400,37705,102600,PSA10x0.15,20.2,CRITICAL,0,0,684000,0,347317,108041,,Y,Y,NO_SNK
CRD_B837D3F1A54647279AEC,뮤 EX,SR,024/025,sc1_ja-24,bw11-RC24,26647,EN,en_BW_SR,0.100000,266472,537768,SCRYDEX_JP_RAW,20.2,CRITICAL,0,0,8526250,537768,10303554,764715,,,Y,NO_SNK
CRD_B6BEB22D4E0AE7AADC2865D17E9AE564,피카츄 (SWSH020 프로모),PR,SWSH020,,swshp-SWSH020,50851,EN,en_GLOBAL,0.321100,158365,1021202,SNK_RAW(n7),20.1,CRITICAL,1021202,7,1852500,0,0,0,,Y,,SNK_CONFIRMED
CRD_3C0A4BD7A21440D38FB0,M가디안 EX,SR,076/070,xy5t_ja-76,xy5-156,19225,EN,en_XY_SR,0.134400,143046,380000,SNK_RAW(n1),19.8,CRITICAL,380000,1,950000,307281,1169563,0,,,Y,SNK_THIN
CRD_94600282DA1043CC8FAF,구즈마,SR,056/051,sm3n_ja-56,sm3-143,6280,EN,en_SM_SR,0.168000,37383,123500,SCRYDEX_JP_RAW,19.7,CRITICAL,0,0,142490,123500,336384,28287,RAW_OVER_PSA9,Y,Y,NO_SNK
CRD_054B8B1A8D90438899B1,보스로라 EX,SR,075/070,xy5g_ja-75,xy5-153,7822,EN,en_XY_SR,0.134400,58202,152000,SCRYDEX_JP_RAW,19.4,CRITICAL,0,0,0,152000,503093,167841,,Y,Y,NO_SNK
CRD_517D349E079B4F5E83C7,라티오스 EX,SR,082/078,xy6_ja-82,xy6-101,12801,EN,en_XY_SR,0.134400,95246,245837,SCRYDEX_JP_RAW,19.2,CRITICAL,0,0,1139990,245837,1306936,150165,RAW_OVER_PSA9,,Y,NO_SNK
CRD_5EE6DC9AFBE242028F0F,지라치 EX,SR,079/076,bw9_ja-79,bw10-98,7744,JP,jp_BW_SR,0.056000,138283,145966,SCRYDEX_JP_RAW,18.8,CRITICAL,0,0,2185000,145966,1716631,442957,,,,NO_SNK
CRD_9D5FE568CAD14D749F5B,야돈&고라파덕 GX,SR,096/094,sm11_ja-96,sm11-218,31320,JP,jp_SM_SR,0.078400,399485,574750,SNK_RAW(n5),18.4,CRITICAL,574750,5,1406000,399485,1227620,247762,RAW_OVER_PSA9,,,SNK_CONFIRMED
CRD_091DC06176614517B5E1,라이츄&알로라라이츄 GX,SR,057/054,sm10a_ja-57,sm11-221,27102,JP,jp_SM_SR,0.078400,345693,496109,SNK_RAW(n2),18.3,CRITICAL,496109,2,2151750,345693,1769546,551219,,,,SNK_THIN
CRD_4B0D00B3E615450ABC4E,모야모,SAR,095/071,sv2d_ja-96,sv2-269,24517,EN,en_SAR,0.223700,109597,446500,SNK_RAW(n18),18.2,CRITICAL,446500,18,803605,460422,806235,475541,,,Y,SNK_CONFIRMED
CRD_7F76FC1F996A4ADAAB21,일격 우라오스 VMAX,HR,085/070,swsh5i_ja-85,swsh5-168,18202,EN,en_HR,0.357800,50873,331540,SNK_RAW(n2),18.2,CRITICAL,331540,2,760000,230472,561747,260024,,,Y,SNK_THIN
CRD_C577C809253F4820BC3C,M루카리오 EX,RR,176/171,xy_ja-176,xy3-55a,18536,EN,en_RR,0.188200,98488,334438,PSA10x0.15,18.0,CRITICAL,0,0,1995000,0,2229586,596318,,Y,Y,NO_SNK
CRD_007D898667D84D8F9B7E,제크로무,SR,055/053,bw1w_ja-55,bw1-114,8600,JP,jp_BW_SR,0.056000,153571,153571,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,1901834,153571,2463422,870399,,,,NO_SNK
CRD_36FC9D7A34B947999101,기라티나 EX,SR,053/050,bw5s_ja-53,bw6-124,12906,JP,jp_BW_SR,0.056000,230472,230472,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,5120500,230472,2284784,267578,,,,NO_SNK
CRD_391EF36F49824C58965F,세레비 EX,SR,060/059,bw6c_ja-60,bw7-141,13300,JP,jp_BW_SR,0.056000,237500,237500,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,0,237500,1331744,338747,,Y,,NO_SNK
CRD_6C46069A0ABF4F55BB2D,디아루가 EX플라스마단,SR,080/076,bw9_ja-80,bw10-99,23408,JP,jp_BW_SR,0.056000,418000,418000,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,4265500,418000,2790462,672784,,Y,,NO_SNK
CRD_9B64D783E4344EBB8735,라티아스 EX,SR,053/051,bw8t_ja-53,bw9-112,34580,JP,jp_BW_SR,0.056000,617500,617500,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,2195554,617500,2323315,267624,RAW_OVER_PSA9,Y,,NO_SNK
CRD_ACE1406D88444132AE41,프리져 EX플라스마단,SR,072/070,bw7_ja-72,bw8-132,25536,JP,jp_BW_SR,0.056000,456000,456000,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,2375000,456000,4349346,673037,,Y,,NO_SNK
CRD_C7804ACB352A4684AF39,비리디온 EX,SR,077/076,bw9_ja-77,bw10-96,6343,JP,jp_BW_SR,0.056000,113269,113269,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,0,113269,453783,97077,RAW_OVER_PSA9,,,NO_SNK
CRD_CBDDC3FDCA774193AB14,레시라무,SR,022/025,sc1_ja-22,bw11-RC22,25813,JP,jp_BW_SR,0.056000,460944,460944,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,4655000,460944,5365670,1480047,,,,NO_SNK
CRD_D9FD0C12886E494286DB,쉐이미 EX,SR,053/052,bw3p_ja-53,bw4-94,10640,JP,jp_BW_SR,0.056000,190000,190000,SCRYDEX_JP_RAW,17.9,CRITICAL,0,0,0,190000,613244,107138,RAW_OVER_PSA9,Y,,NO_SNK
CRD_1A87BECFAC1647F98FBC,두랄루돈 VMAX,HR,083/067,swsh7d_ja-83,swsh7-220,10500,EN,en_HR,0.357800,29347,185250,SNK_RAW(n2),17.6,CRITICAL,185250,2,345316,169013,304810,152734,RAW_OVER_PSA9,,Y,SNK_THIN
CRD_CA05CA30ECC64AAA9103,M엘레이드 EX,SR,081/078,xy6_ja-81,xy6-100,12289,EN,en_XY_SR,0.134400,91436,215092,SCRYDEX_JP_RAW,17.5,CRITICAL,0,0,0,215092,814855,119374,RAW_OVER_PSA9,,Y,NO_SNK
CRD_1A815E05CDFE482484A2,솔가레오&루나아라 GX,SR,063/049,sm11b_ja-63,sm12-216,31734,JP,jp_SM_SR,0.078400,404770,551000,SNK_RAW(n3),17.4,CRITICAL,551000,3,797990,386056,882644,428714,,,,SNK_THIN
CRD_828E8D059DF7414D891B,뮤 ex,SAR,205/165,sv2a_ja-205,svp-53,28349,EN,en_SAR,0.223700,126729,490827,SNK_RAW(n44),17.3,CRITICAL,490827,44,933375,338917,928931,361008,,,Y,SNK_CONFIRMED
CRD_B56B12EB53F4412BA2DA,피카츄,AR,205/172,swsh12a_ja-205,swsh12pt5gg-GG30,28697,EN,en_AR,0.343900,83446,494000,SNK_RAW(n44),17.2,CRITICAL,494000,44,931000,290733,1082294,280344,RAW_OVER_PSA9,,Y,SNK_CONFIRMED
